season,club,home_win,away_win,home_loss,away_loss,matches_won,matches_lost,matches_drawn,total_matches,points,home_goals,away_goals,goals_scored,goals_conceded,goal_difference
1999-00,Sevilla,5,0,8,12,5,20,13,38,28,25,17,42,67,-25
1999-00,Atletico de Madrid,5,4,6,12,9,18,11,38,38,26,22,48,64,-16
1999-00,Betis,8,3,5,13,11,18,9,38,42,19,14,33,56,-23
1999-00,Real Oviedo,9,2,3,12,11,15,12,38,45,23,21,44,60,-16
1999-00,Numancia,9,2,4,11,11,15,12,38,45,30,17,47,59,-12
1999-00,Racing de Santander,3,7,3,9,10,12,16,38,46,25,27,52,50,2
1999-00,Real Sociedad,9,2,3,10,11,13,14,38,47,28,14,42,49,-7
1999-00,Espanyol,8,4,4,11,12,15,11,38,47,31,20,51,48,3
1999-00,Malaga,7,4,5,7,11,12,15,38,48,25,30,55,50,5
1999-00,Athletic Club,8,4,3,9,12,12,14,38,50,29,18,47,57,-10
1999-00,Mallorca,11,3,4,11,14,15,9,38,51,33,19,52,45,7
1999-00,Rayo Vallecano,8,7,8,8,15,16,7,38,52,28,23,51,53,-2
1999-00,Valladolid,11,3,5,8,14,13,11,38,53,26,10,36,44,-8
1999-00,Celta de Vigo,10,5,4,11,15,15,8,38,53,31,14,45,43,2
1999-00,Alaves,10,7,5,6,17,11,10,38,61,23,18,41,37,4
1999-00,Real Madrid,9,7,6,2,16,8,14,38,62,31,27,58,48,10
1999-00,Real Zaragoza,11,5,1,6,16,7,15,38,63,36,24,60,40,20
1999-00,Valencia,12,6,3,7,18,10,10,38,64,40,19,59,39,20
1999-00,Barcelona,13,6,4,8,19,12,7,38,64,42,28,70,46,24
1999-00,Deportivo,16,5,2,9,21,11,6,38,69,47,19,66,44,22
2000-01,Numancia,8,2,6,13,10,19,9,38,39,24,16,40,64,-24
2000-01,Racing de Santander,10,0,4,15,10,19,9,38,39,33,15,48,62,-14
2000-01,Real Oviedo,9,2,4,15,11,19,8,38,41,42,9,51,67,-16
2000-01,Osasuna,6,4,5,11,10,16,12,38,42,26,17,43,54,-11
2000-01,Valladolid,8,1,2,12,9,14,15,38,42,24,18,42,50,-8
2000-01,Real Zaragoza,8,1,2,12,9,14,15,38,42,40,14,54,57,-3
2000-01,Athletic Club,9,2,6,11,11,17,10,38,43,32,12,44,60,-16
2000-01,Real Sociedad,6,5,7,10,11,17,10,38,43,28,24,52,68,-16
2000-01,Rayo Vallecano,7,3,6,9,10,15,13,38,43,30,26,56,68,-12
2000-01,Las Palmas,10,3,6,12,13,18,7,38,46,20,22,42,62,-20
2000-01,Alaves,10,4,7,10,14,17,7,38,49,34,24,58,59,-1
2000-01,Espanyol,9,5,7,9,14,16,8,38,50,25,21,46,44,2
2000-01,Malaga,10,6,4,10,16,14,8,38,56,34,26,60,61,-1
2000-01,Villarreal,9,7,4,9,16,13,9,38,57,33,25,58,52,6
2000-01,Celta de Vigo,11,5,1,10,16,11,11,38,59,31,20,51,49,2
2000-01,Valencia,13,5,5,6,18,11,9,38,63,30,25,55,34,21
2000-01,Barcelona,12,5,3,6,17,9,12,38,63,51,29,80,57,23
2000-01,Mallorca,14,6,1,6,20,7,11,38,71,38,23,61,43,18
2000-01,Deportivo,15,7,1,8,22,9,7,38,73,44,29,73,44,29
2000-01,Real Madrid,15,9,1,5,24,6,8,38,80,53,28,81,40,41
2001-02,Real Zaragoza,6,3,6,13,9,19,10,38,37,21,14,35,54,-19
2001-02,Tenerife,6,4,8,12,10,20,8,38,38,21,11,32,58,-26
2001-02,Las Palmas,7,2,4,12,9,16,13,38,40,23,17,40,50,-10
2001-02,Osasuna,6,4,7,9,10,16,12,38,42,19,17,36,49,-13
2001-02,Mallorca,7,4,7,10,11,17,10,38,43,24,16,40,52,-12
2001-02,Villarreal,9,2,4,13,11,17,10,38,43,30,16,46,55,-9
2001-02,Espanyol,12,1,5,12,13,17,8,38,47,34,13,47,56,-9
2001-02,Real Sociedad,8,5,5,12,13,17,8,38,47,31,17,48,54,-6
2001-02,Valladolid,9,4,6,10,13,16,9,38,48,24,21,45,58,-13
2001-02,Rayo Vallecano,11,2,5,10,13,15,10,38,49,27,19,46,52,-6
2001-02,Athletic Club,6,8,6,7,14,13,11,38,53,23,31,54,66,-12
2001-02,Malaga,8,5,4,7,13,11,14,38,53,24,20,44,44,0
2001-02,Sevilla,7,7,6,7,14,13,11,38,53,26,25,51,40,11
2001-02,Alaves,10,7,8,10,17,18,3,38,54,22,19,41,44,-3
2001-02,Betis,11,4,3,6,15,9,14,38,59,26,16,42,34,8
2001-02,Celta de Vigo,10,6,4,6,16,10,12,38,60,36,28,64,46,18
2001-02,Barcelona,12,6,2,8,18,10,10,38,64,44,21,65,37,28
2001-02,Real Madrid,14,5,0,10,19,10,9,38,66,48,21,69,44,25
2001-02,Deportivo,13,7,2,8,20,10,8,38,68,40,25,65,41,24
2001-02,Valencia,14,7,1,4,21,5,12,38,75,28,23,51,27,24
2002-03,Rayo Vallecano,4,3,7,13,7,20,11,38,32,17,14,31,62,-31
2002-03,Alaves,5,3,6,13,8,19,11,38,35,18,20,38,68,-30
2002-03,Recreativo de Huelva,5,3,6,12,8,18,12,38,36,24,11,35,61,-26
2002-03,Espanyol,8,2,5,10,10,15,13,38,43,30,18,48,54,-6
2002-03,Racing de Santander,9,4,8,12,13,20,5,38,44,29,25,54,64,-10
2002-03,Villarreal,8,3,6,9,11,15,12,38,45,24,20,44,53,-9
